Error,External,Item,Loading,ACO,SA,TS,GA
Major,None,y1,0.9,60,32,44,90
Major,None,y5,0.7,22,22,41,12
Major,None,y9,0.9,20,12,24,97
Major,None,y13,0.7,10,11,32,3
Major,None,y17,0.9,61,10,30,60
Major,None,y21,0.7,30,10,27,41
Major,Moderate,y1,0.9,37,25,51,84
Major,Moderate,y5,0.7,15,12,37,16
Major,Moderate,y9,0.9,32,16,30,97
Major,Moderate,y13,0.7,6,16,20,3
Major,Moderate,y17,0.9,29,10,37,96
Major,Moderate,y21,0.7,4,9,37,4
