Error,Item,Loading,ACO,SA,TS,GA
Minor,y1,0.9,83,36,49,94
Minor,y5,0.7,13,58,50,24
Minor,y9,0.9,52,34,41,87
Minor,y13,0.7,20,42,48,8
Minor,y17,0.9,85,25,28,65
Minor,y21,0.7,45,36,44,39
Major,y1,0.9,60,32,44,90
Major,y5,0.7,22,22,41,12
Major,y9,0.9,20,12,24,97
Major,y13,0.7,10,11,32,3
Major,y17,0.9,61,10,30,60
Major,y21,0.7,30,10,27,41
